epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6389,0.5869,0.87737,0.00682,0.97465,0.79317,0.9148,0.85852,0.39376,0.7784,0.00593,0.000546847,0.000546847,0.000546847
2,52.7524,0.5722,0.73335,0.00644,0.92874,0.81765,0.96156,0.89467,0.41816,0.65344,0.00659,0.00104794,0.00104794,0.00104794
3,66.9057,0.61531,0.70885,0.00699,0.89699,0.87074,0.95666,0.86362,0.51551,0.5712,0.01041,0.00149402,0.00149402,0.00149402
4,81.2851,0.64663,0.70193,0.00708,0.86713,0.91459,0.95682,0.88116,0.44696,0.528,0.00624,0.00141945,0.00141945,0.00141945
5,95.4822,0.63241,0.59824,0.00678,0.86239,0.94754,0.96491,0.86872,0.50384,0.44048,0.00872,0.00133693,0.00133693,0.00133693
6,109.165,0.63243,0.56853,0.00681,0.87291,0.95236,0.96835,0.86854,0.50239,0.42258,0.00749,0.00125442,0.00125442,0.00125442
7,120.097,0.5821,0.49457,0.00603,0.90415,0.93302,0.97741,0.8902,0.47467,0.37681,0.00819,0.0011719,0.0011719,0.0011719
8,132.641,0.58668,0.46427,0.00624,0.93389,0.92437,0.98107,0.90309,0.46087,0.32719,0.00674,0.00108938,0.00108938,0.00108938
9,145.364,0.60543,0.46144,0.00639,0.94659,0.88547,0.97765,0.89715,0.44628,0.35981,0.007,0.00100687,0.00100687,0.00100687
10,158.048,0.57131,0.43573,0.00591,0.94517,0.96487,0.98717,0.89618,0.45131,0.30114,0.00666,0.000924352,0.000924352,0.000924352
11,178.459,0.47463,0.35326,0.00705,0.87793,0.94315,0.97755,0.89714,0.44685,0.32877,0.00689,0.000841835,0.000841835,0.000841835
12,191.028,0.42386,0.32634,0.00549,0.90821,0.96893,0.98402,0.91683,0.41799,0.30503,0.00668,0.000759318,0.000759318,0.000759318
13,203.472,0.43023,0.32118,0.00567,0.93974,0.97209,0.98726,0.91586,0.4044,0.26662,0.00641,0.000676802,0.000676802,0.000676802
14,215.977,0.39585,0.29011,0.00506,0.95295,0.96978,0.98877,0.93278,0.37177,0.23396,0.00599,0.000594286,0.000594286,0.000594286
15,229.232,0.39013,0.28408,0.00515,0.97204,0.95741,0.98944,0.92975,0.3746,0.23914,0.00536,0.000511769,0.000511769,0.000511769
16,239.682,0.38541,0.25654,0.00466,0.92449,0.9449,0.98652,0.93264,0.35791,0.26045,0.00459,0.000429253,0.000429253,0.000429253
17,249.302,0.36356,0.26548,0.0045,0.98358,0.93537,0.98748,0.93227,0.35026,0.23459,0.00482,0.000346736,0.000346736,0.000346736
18,258.843,0.3681,0.2676,0.00458,0.98132,0.9348,0.98679,0.94138,0.32042,0.23781,0.00448,0.00026422,0.00026422,0.00026422
19,268.324,0.33761,0.25633,0.00422,0.98193,0.92636,0.98549,0.94816,0.2903,0.24036,0.00415,0.000181703,0.000181703,0.000181703
20,277.876,0.31811,0.21184,0.00391,0.98434,0.93586,0.9852,0.95114,0.27976,0.24178,0.00391,9.91865e-05,9.91865e-05,9.91865e-05
